word,pinyin,tones,tone_pattern,thai,surface_tone_pattern
吧,ba,5,5,นะ/เถอะ,5
白,bái,2,2,ขาว,2
百,bǎi,3,3,ร้อย,3
帮助,bāngzhù,1,1,ช่วยเหลือ,1
报纸,bàozhǐ,4,4,หนังสือพิมพ์,4
比,bǐ,3,3,เปรียบเทียบ/กว่า,3
别,bié,2,2,อย่า/อื่น,2
宾馆,bīnguǎn,1,1,โรงแรม,1
长,cháng,2,2,ยาว,2
唱歌,chànggē,4,4,ร้องเพลง,4
出,chū,1,1,ออก,1
穿,chuān,1,1,สวมใส่,1
次,cì,4,4,ครั้ง,4
从,cóng,2,2,จาก/ตั้งแต่,2
错,cuò,4,4,ผิด,4
打篮球,dǎ lánqiú,3,3,เล่นบาสเกตบอล,3
大家,dàjiā,4,4,ทุกคน,4
到,dào,4,4,ถึง/มาถึง,4
得,de,5,5,ได้(โครงสร้างไวยากรณ์),5
等,děng,3,3,รอ,3
弟弟,dìdi,4,4,น้องชาย,4
第一,dì-yī,4,4,อันดับหนึ่ง/ที่หนึ่ง,4
懂,dǒng,3,3,เข้าใจ,3
对,duì,4,4,ถูก/ต่อ(ทิศทาง),4
房间,fángjiān,2,2,ห้อง,2
非常,fēicháng,1,1,มาก/เป็นพิเศษ,1
服务员,fúwùyuán,2,2,พนักงานบริการ,2
高,gāo,1,1,สูง,1
告诉,gàosu,4,4,บอก/แจ้ง,4
哥哥,gēge,1,1,พี่ชาย,1
给,gěi,3,3,ให้,3
公共汽车,gōnggòng qìchē,1,1,รถประจำทาง,1
公司,gōngsī,1,1,บริษัท,1
贵,guì,4,4,แพง,4
过,guò,4,4,เคย/ผ่าน,4
还,hái,2,2,ยังคง/ยัง,2
孩子,háizi,2,2,เด็ก/ลูก,2
好吃,hǎochī,3,3,อร่อย,3
黑,hēi,1,1,ดำ,1
红,hóng,2,2,แดง,2
欢迎,huānyíng,1,1,ยินดีต้อนรับ,1
回答,huídá,2,2,ตอบคำถาม,2
机场,jīchǎng,1,1,สนามบิน,1
鸡蛋,jīdàn,1,1,ไข่ไก่,1
件,jiàn,4,4,ชิ้น/ตัว(เสื้อผ้า),4
教室,jiàoshì,4,4,ห้องเรียน,4
姐姐,jiějie,3,3,พี่สาว,3
介绍,jièshào,4,4,แนะนำ,4
进,jìn,4,4,เข้า,4
近,jìn,4,4,ใกล้,4
就,jiù,4,4,ก็/ทันที,4
觉得,juéde,2,2,รู้สึกว่า/คิดว่า,2
咖啡,kāfēi,1,1,กาแฟ,1
开始,kāishǐ,1,1,เริ่มต้น,1
考试,kǎoshì,3,3,สอบ,3
可以,kěyǐ,2 | 3,2+3,ได้/สามารถ,2+3
可能,kěnéng,3,3,อาจจะ,3
快,kuài,4,4,เร็ว,4
快乐,kuàilè,4,4,มีความสุข,4
累,lèi,4,4,เหนื่อย,4
离,lí,2,2,ห่างจาก,2
两,liǎng,3,3,สอง,3
路,lù,4,4,ถนน/ทาง,4
旅游,lǚyóu,3,3,ท่องเที่ยว,3
卖,mài,4,4,ขาย,4
慢,màn,4,4,ช้า,4
忙,máng,2,2,ยุ่ง,2
每,měi,3,3,ทุกๆ,3
妹妹,mèimei,4,4,น้องสาว,4
门,mén,2,2,ประตู,2
男,nán,2,2,ผู้ชาย,2
您,nín,2,2,คุณ/ท่าน (สุภาพ),2
牛奶,niúnǎi,2,2,นมวัว,2
女,nǚ,3,3,ผู้หญิง,3
旁边,pángbiān,2,2,ด้านข้าง,2
跑步,pǎobù,3,3,วิ่ง,3
便宜,piányi,2,2,ราคาถูก,2
票,piào,4,4,ตั๋ว,4
妻子,qīzi,1,1,ภรรยา,1
起床,qǐchuáng,3,3,ตื่นนอน,3
千,qiān,1,1,พัน,1
铅笔,qiānbǐ,1,1,ดินสอ,1
晴,qíng,2,2,ท้องฟ้าแจ่มใส,2
去年,qùnián,4,4,ปีที่แล้ว,4
让,ràng,4,4,ให้/อนุญาต,4
日,rì,4,4,วัน/พระอาทิตย์,4
上班,shàngbān,4,4,เข้างาน,4
身体,shēntǐ,1,1,ร่างกาย/สุขภาพ,1
生病,shēngbìng,1,1,ป่วย,1
生日,shēngrì,1,1,วันเกิด,1
时间,shíjiān,2,2,เวลา,2
事情,shìqing,4,4,ธุระ/เรื่องราว,4
手表,shǒubiǎo,2 | 3,2+3,นาฬิกาข้อมือ,2+3
手机,shǒujī,3,3,โทรศัพท์มือถือ,3
说话,shuōhuà,1,1,พูดคุย,1
送,sòng,4,4,ส่ง/มอบให้,4
虽然,suīrán,1,1,แม้ว่า,1
但是,dànshì,4,4,แต่ว่า,4
它,tā,1,1,มัน (สิ่งของ/สัตว์),1
踢足球,tī zúqiú,1,1,เตะฟุตบอล,1
题,tí,2,2,ข้อ/โจทย์,2
跳舞,tiàowǔ,4,4,เต้นรำ,4
外,wài,4,4,นอก/ข้างนอก,4
完,wán,2,2,เสร็จ/หมด,2
玩,wán,2,2,เล่น,2
晚上,wǎnshang,3,3,ตอนค่ำ/กลางคืน,3
为什么,wèishénme,4,4,ทำไม,4
问,wèn,4,4,ถาม,4
问题,wèntí,4,4,ปัญหา/คำถาม,4
西瓜,xīguā,1,1,แตงโม,1
希望,xīwàng,1,1,หวังว่า/ความหวัง,1
洗,xǐ,3,3,ล้าง/ซัก,3
小时,xiǎoshí,3,3,ชั่วโมง,3
笑,xiào,4,4,หัวเราะ/ยิ้ม,4
新,xīn,1,1,ใหม่,1
姓,xìng,4,4,นามสกุล,4
休息,xiūxi,1,1,พักผ่อน,1
雪,xuě,3,3,หิมะ,3
颜色,yánsè,2,2,สี,2
眼睛,yǎnjing,3,3,ดวงตา,3
羊肉,yángròu,2,2,เนื้อแพะ/แกะ,2
药,yào,4,4,ยา,4
要,yào,4,4,ต้องการ/จะ,4
也,yě,3,3,ก็...เหมือนกัน,3
一下,yíxià,2,2,สักครู่/หน่อย,2
已经,yǐjīng,3,3,แล้ว/เรียบร้อยแล้ว,3
意思,yìsi,4,4,ความหมาย,4
因为,yīnwèi,1,1,เพราะว่า,1
所以,suǒyǐ,3,3,ดังนั้น,3
阴,yīn,1,1,มืดครึ้ม,1
游泳,yóuyǒng,2,2,ว่ายน้ำ,2
右边,yòubian,4,4,ด้านขวา,4
鱼,yú,2,2,ปลา,2
远,yuǎn,3,3,ไกล,3
运动,yùndòng,4,4,ออกกำลังกาย,4
再,zài,4,4,อีกครั้ง,4
早上,zǎoshang,3,3,ตอนเช้า,3
丈夫,zhàngfu,4,4,สามี,4
找,zhǎo,3,3,หา/ทอนเงิน,3
着,zhe,5,5,อยู่/กำลัง(อาการต่อเนื่อง),5
真,zhēn,1,1,จริง/จริงๆ,1
正在,zhèngzài,4,4,กำลัง...อยู่,4
知道,zhīdào,1,1,รู้/ทราบ,1
准备,zhǔnbèi,3,3,เตรียมตัว,3
自行车,zìxíngchē,4,4,จักรยาน,4
走,zǒu,3,3,เดิน/ไป,3
最,zuì,4,4,ที่สุด,4
左边,zuǒbian,3,3,ด้านซ้าย,3
