word,pinyin,tones,tone_pattern,thai
阿姨,āyí,1,1,น้า/ป้า
矮,ǎi,3,3,เตี้ย
爱人,àiren,4,4,สามี/ภรรยา(คู่รัก)
安静,ānjìng,1,1,เงียบ
安全,ānquán,1,1,ปลอดภัย
把,bǎ,3,3,เอา/นำ
搬,bān,1,1,ย้าย
班级,bānjí,1,1,ชั้นเรียน
搬家,bānjiā,1,1,ย้ายบ้าน
办,bàn,4,4,ทำ/จัดการ
办法,bànfǎ,4,4,วิธี
办公室,bàngōngshì,4,4,สำนักงาน
半天,bàntiān,4,4,ครึ่งวัน
帮助,bāngzhù,1,1,ช่วยเหลือ
饱,bǎo,3,3,อิ่ม
报纸,bàozhǐ,4,4,หนังสือพิมพ์
北,běi,3,3,ทิศเหนือ
北方,běifāng,3,3,ภาคเหนือ
被,bèi,4,4,ถูก(กระทำ)
笔记,bǐjì,3,3,บันทึก/สมุดโน้ต
比较,bǐjiào,3,3,เปรียบเทียบ/ค่อนข้าง
笔记本,bǐjìběn,3,3,สมุดโน้ต/แล็ปท็อป
比如,bǐrú,3,3,เช่น
比赛,bǐsài,3,3,การแข่งขัน
必须,bìxū,4,4,ต้อง
变,biàn,4,4,เปลี่ยน
遍,biàn,4,4,รอบ/ครั้ง(ลักษณนาม)
变成,biànchéng,4,4,กลายเป็น
变化,biànhuà,4,4,การเปลี่ยนแปลง
表演,biǎoyǎn,3,3,แสดง
别的,biéde,2,2,อื่นๆ
别人,biérén,2,2,คนอื่น
宾馆,bīnguǎn,1,1,โรงแรม
冰,bīng,1,1,น้ำแข็ง
冰激凌,bīngjīlíng,1,1,ไอศกรีม
冰箱,bīngxiāng,1,1,ตู้เย็น
病人,bìngrén,4,4,คนไข้
不但,búdàn,2,2,ไม่เพียงแต่
不见,bújiàn,2,2,ไม่เห็น/หายไป
不用,búyòng,2,2,ไม่ต้อง
不同,bùtóng,4,4,ไม่เหมือน/แตกต่าง
不久,bùjiǔ,4,4,ไม่นาน
不行,bùxíng,4,4,ไม่ได้/ไม่ดี
才,cái,2,2,เพิ่งจะ
菜单,càidān,4,4,เมนูอาหาร
参加,cānjiā,1,1,เข้าร่วม
草,cǎo,3,3,หญ้า
草地,cǎodì,3,3,สนามหญ้า
层,céng,2,2,ชั้น(ลักษณนาม)
查,chá,2,2,ตรวจสอบ
差,chà,4,4,แย่/ขาดอีก
差不多,chàbuduō,4,4,เกือบจะ/พอๆกัน
尝,cháng,2,2,ชิม
常,cháng,2,2,บ่อยๆ
常见,chángjiàn,2,2,พบบ่อย
常用,chángyòng,2,2,ใช้บ่อย
常常,chángcháng,2,2,บ่อยๆ
衬衫,chènshān,4,4,เสื้อเชิ้ต
成绩,chéngjì,2,2,คะแนนสอบ/ผลงาน
城市,chéngshì,2,2,เมือง
迟到,chídào,2,2,มาสาย
出发,chūfā,1,1,ออกเดินทาง
出生,chūshēng,1,1,เกิด
出院,chūyuàn,1,1,ออกจากโรงพยาบาล
初中,chūzhōng,1,1,มัธยมต้น
除了,chúle,2,2,นอกจาก
船,chuán,2,2,เรือ
春天,chūntiān,1,1,ฤดูใบไม้ผลิ
词典,cídiǎn,2,2,พจนานุกรม
聪明,cōngmíng,1,1,ฉลาด
打扫,dǎsǎo,3,3,ทำความสะอาด
打算,dǎsuàn,3,3,วางแผน
大概,dàgài,4,4,ประมาณ/คร่าวๆ
大人,dàren,4,4,ผู้ใหญ่
大小,dàxiǎo,4,4,ขนาด
大熊猫,dàxióngmāo,4,4,แพนด้า
大衣,dàyī,4,4,เสื้อโค้ท
带,dài,4,4,พา/นำ/พก
担心,dānxīn,1,1,เป็นห่วง
蛋糕,dàngāo,4,4,เค้ก
当然,dāngrán,1,1,แน่นอน
到处,dàochù,4,4,ทุกที่
得,dé,2,2,ได้รับ
得到,dédào,2,2,ได้รับ
得分,défēn,2,2,ได้คะแนน
的话,dehuà,5,5,ถ้าหาก(คำเสริม)
得,děi,3,3,ต้อง
灯,dēng,1,1,ไฟ/หลอดไฟ
地,dì,4,4,พื้น/ที่ดิน
地点,dìdiǎn,4,4,สถานที่
地方,dìfang,4,4,สถานที่/ที่
地图,dìtú,4,4,แผนที่
电,diàn,4,4,ไฟฟ้า
电梯,diàntī,4,4,ลิฟต์
电子书,diànzǐshū,4,4,หนังสืออิเล็กทรอนิกส์
丢,diū,1,1,หาย/ทิ้ง
东,dōng,1,1,ทิศตะวันออก
东北,dōngběi,1,1,ทิศตะวันออกเฉียงเหนือ
东方,dōngfāng,1,1,ทิศตะวันออก
东南,dōngnán,1,1,ทิศตะวันออกเฉียงใต้
冬天,dōngtiān,1,1,ฤดูหนาว
懂得,dǒngde,3,3,เข้าใจ
动物,dòngwù,4,4,สัตว์
动物园,dòngwùyuán,4,4,สวนสัตว์
短,duǎn,3,3,สั้น
短裤,duǎnkù,3,3,กางเกงขาสั้น
段,duàn,4,4,ช่วง/ตอน/ย่อหน้า
锻炼,duànliàn,4,4,ออกกำลังกาย
对话,duìhuà,4,4,บทสนทนา
饿,è,4,4,หิว
而且,érqiě,2,2,แถมยัง
耳朵,ěrduo,3,3,หู
耳机,ěrjī,3,3,หูฟัง
发,fā,1,1,ส่ง
发烧,fāshāo,1,1,เป็นไข้
发生,fāshēng,1,1,เกิดขึ้น
发现,fāxiàn,1,1,ค้นพบ
发展,fāzhǎn,1,1,พัฒนา
方便,fāngbiàn,1,1,สะดวกสบาย
方便面,fāngbiànmiàn,1,1,บะหมี่กึ่งสำเร็จรูป
方法,fāngfǎ,1,1,วิธี
方向,fāngxiàng,1,1,ทิศทาง
房子,fángzi,2,2,บ้าน
放,fàng,4,4,วาง/ปล่อย
放假,fàngjià,4,4,หยุดเรียน/หยุดงาน
放心,fàngxīn,4,4,วางใจ
放学,fàngxué,4,4,เลิกเรียน
分开,fēnkāi,1,1,แยกจากกัน
风,fēng,1,1,ลม
封,fēng,1,1,ฉบับ(ลักษณนามจดหมาย)
夫妻,fūqī,1,1,สามีภรรยา
服务,fúwù,2,2,บริการ
附近,fùjìn,4,4,ละแวกใกล้เคียง
复习,fùxí,4,4,ทบทวน
该,gāi,1,1,ควรจะ
干净,gānjìng,1,1,สะอาด
感兴趣,gǎnxìngqù,3,3,สนใจ
感到,gǎndào,3,3,รู้สึกถึง
感冒,gǎnmào,3,3,เป็นหวัด
干,gàn,4,4,ทำ
刚,gāng,1,1,เพิ่งจะ
刚才,gāngcái,1,1,เมื่อกี้
刚刚,gānggāng,1,1,เพิ่งจะ
高铁,gāotiě,1,1,รถไฟความเร็วสูง
根据,gēnjù,1,1,ตามที่/หลักฐาน
更,gèng,4,4,ยิ่งขึ้น
公斤,gōngjīn,1,1,กิโลกรัม
公园,gōngyuán,1,1,สวนสาธารณะ
工作日,gōngzuòrì,1,1,วันทำงาน
故事,gùshi,4,4,นิทาน/เรื่องราว
刮,guā,1,1,พัด(ลม)/ขูด
关,guān,1,1,ปิด
关机,guānjī,1,1,ปิดเครื่อง
关系,guānxi,1,1,ความสัมพันธ์
关心,guānxīn,1,1,ห่วงใย/ใส่ใจ
关于,guānyú,1,1,เกี่ยวกับ
关注,guānzhù,1,1,ติดตาม/ให้ความสนใจ
国家,guójiā,2,2,ประเทศ
过节,guòjié,4,4,ฉลองเทศกาล
过去,guòqù,4,4,อดีต
海,hǎi,3,3,ทะเล
害怕,hàipà,4,4,กลัว
好多,hǎoduō,3,3,เยอะมาก
好久,hǎojiǔ,3,3,นานมาก
好像,hǎoxiàng,3,3,ดูเหมือนว่า
号码,hàomǎ,4,4,หมายเลข
河,hé,2,2,แม่น้ำ
合适,héshì,2,2,เหมาะสม
黑板,hēibǎn,1,1,กระดานดำ
红绿灯,hónglǜdēng,2,2,ไฟจราจร
后来,hòulái,4,4,ต่อมา
